Time,Power
03-15-22:17:59,4.5
03-15-22:18:19,4.5
03-15-22:18:39,4.5
03-15-22:18:59,4.5
03-15-22:19:19,4.5
03-15-22:19:40,4.5
03-15-22:19:59,4.5
03-15-22:20:19,4.5
03-15-22:20:40,4.5
03-15-22:20:59,4.5
03-15-22:21:20,4.5
03-15-22:21:39,4.5
03-15-22:21:59,4.5
03-15-22:22:19,4.5
03-15-22:22:40,4.5
03-15-22:22:59,4.5
03-15-22:23:19,4.5
03-15-22:23:40,4.5
03-15-22:23:59,4.5
03-15-22:24:20,4.5
03-15-22:24:40,4.5
03-15-22:25:00,4.5
03-15-22:25:20,4.5
03-15-22:25:39,4.5
03-15-22:26:00,4.5
03-15-22:26:20,4.5
03-15-22:26:40,4.5
03-15-22:27:00,4.5
03-15-22:27:20,4.5
03-15-22:27:40,4.5
03-15-22:28:00,4.5
03-15-22:28:20,4.5
03-15-22:28:40,4.5
03-15-22:29:00,4.5
03-15-22:29:20,4.5
03-15-22:29:40,4.5
03-15-22:30:00,4.5
03-15-22:30:20,4.5
03-15-22:30:40,4.5
03-15-22:31:00,4.5
03-15-22:31:20,4.5
03-15-22:31:40,4.5
03-15-22:32:00,4.5
03-15-22:32:20,4.5
03-15-22:32:40,4.5
03-15-22:33:00,4.5
03-15-22:33:20,4.5
03-15-22:33:40,4.5
03-15-22:34:00,4.5
03-15-22:34:20,4.5
03-15-22:34:40,4.5
03-15-22:35:00,4.5
03-15-22:35:20,4.5
03-15-22:35:40,4.5
03-15-22:36:00,4.5
03-15-22:36:20,4.5
03-15-22:36:40,4.5
03-15-22:37:00,4.5
03-15-22:37:20,4.5
03-15-22:37:40,4.5
03-15-22:38:00,4.5
03-15-22:38:20,4.5
03-15-22:38:41,4.5
03-15-22:39:00,4.5
03-15-22:39:20,4.5
03-15-22:39:41,4.5
03-15-22:40:01,4.5
03-15-22:40:20,4.5
03-15-22:40:40,4.5
03-15-22:41:00,4.5
03-15-22:41:20,4.5
03-15-22:41:41,4.5
03-15-22:42:01,4.5
03-15-22:42:21,4.5
03-15-22:42:41,4.5
03-15-22:43:01,4.5
03-15-22:43:21,4.5
03-15-22:43:41,4.5
03-15-22:44:01,4.5
03-15-22:44:21,4.5
03-15-22:44:41,4.5
03-15-22:45:01,4.5
03-15-22:45:21,4.5
03-15-22:45:41,4.5
03-15-22:46:01,4.5
03-15-22:46:21,4.5
03-15-22:46:41,4.5
03-15-22:47:01,4.5
03-15-22:47:21,4.5
03-15-22:47:41,4.5
03-15-22:48:01,4.5
03-15-22:48:21,4.5
03-15-22:48:41,4.5
03-15-22:49:01,4.5
03-15-22:49:21,4.5
03-15-22:49:41,4.5
03-15-22:50:01,4.5
03-15-22:50:21,4.5
03-15-22:50:41,4.5
03-15-22:51:01,4.5
03-15-22:51:21,4.5
03-15-22:51:41,4.5
03-15-22:52:01,4.5
03-15-22:52:21,4.5
03-15-22:52:41,4.5
03-15-22:53:01,4.5
03-15-22:53:21,4.5
03-15-22:53:41,4.5
03-15-22:54:01,4.5
03-15-22:54:21,4.5
03-15-22:54:41,4.5
03-15-22:55:01,4.5
03-15-22:55:21,4.5
03-15-22:55:41,4.5
03-15-22:56:02,4.5
03-15-22:56:21,4.5
03-15-22:56:41,4.5
03-15-22:57:01,4.5
03-15-22:57:21,4.5
03-15-22:57:41,4.5
03-15-22:58:02,4.5
03-15-22:58:21,4.5
03-15-22:58:41,4.5
03-15-22:59:02,4.5
03-15-22:59:22,4.5
03-15-22:59:41,4.5
03-15-23:00:02,4.5
03-15-23:00:21,4.5
03-15-23:00:41,4.5
03-15-23:01:02,4.5
03-15-23:01:22,4.5
03-15-23:01:42,4.5
03-15-23:02:02,4.5
03-15-23:02:22,4.5
03-15-23:02:42,4.5
03-15-23:03:02,4.5
03-15-23:03:22,4.5
03-15-23:03:42,4.5
03-15-23:04:02,4.5
03-15-23:04:22,4.5
03-15-23:04:42,4.5
03-15-23:05:02,4.5
03-15-23:05:22,4.5
03-15-23:05:42,4.5
03-15-23:06:02,4.5
03-15-23:06:22,4.5
03-15-23:06:42,4.5
03-15-23:07:02,4.5
03-15-23:07:22,4.5
03-15-23:07:42,4.5
03-15-23:08:02,4.5
03-15-23:08:22,4.5
03-15-23:08:42,4.5
03-15-23:09:02,4.5
03-15-23:09:22,4.5
03-15-23:09:42,4.5
03-15-23:10:02,4.5
03-15-23:10:22,4.5
03-15-23:10:42,4.5
03-15-23:11:02,4.5
03-15-23:11:22,4.5
03-15-23:11:42,4.5
03-15-23:12:02,4.5
03-15-23:12:22,4.5
03-15-23:12:42,4.5
03-15-23:13:02,4.5
03-15-23:13:22,4.5
03-15-23:13:42,4.5
03-15-23:14:02,4.5
03-15-23:14:22,4.5
03-15-23:14:42,4.5
03-15-23:15:02,4.5
03-15-23:15:22,4.5
03-15-23:15:42,4.5
03-15-23:16:02,4.5
03-15-23:16:22,4.5
03-15-23:16:42,4.5
03-15-23:17:02,4.5
03-15-23:17:23,4.5
03-15-23:17:42,4.5
03-15-23:18:02,4.5
03-15-23:18:23,4.5
03-15-23:18:42,4.5
03-15-23:19:03,4.5
03-15-23:19:22,4.5
03-15-23:19:42,4.5
03-15-23:20:02,4.5
03-15-23:20:23,4.5
03-15-23:20:43,7.5
03-15-23:21:03,9.75
03-15-23:21:23,11.25
03-15-23:21:43,12.75
03-15-23:22:03,13.5
03-15-23:22:23,14.25
03-15-23:22:43,15
03-15-23:23:03,15.75
03-15-23:23:24,15.75
03-15-23:23:43,15.75
03-15-23:24:03,15.75
03-15-23:24:23,15.75
03-15-23:24:43,12.75
03-15-23:25:03,10.5
03-15-23:25:23,9
03-15-23:25:43,8.25
03-15-23:26:03,10.5
03-15-23:26:23,9
03-15-23:26:43,8.25
03-15-23:27:03,7.5
03-15-23:27:24,6.75
03-15-23:27:43,6
03-15-23:28:03,6
03-15-23:28:23,6
03-15-23:28:43,6
03-15-23:29:03,6
03-15-23:29:23,6
03-15-23:29:43,6
03-15-23:30:03,6
03-15-23:30:23,6
03-15-23:30:43,6
03-15-23:31:05,6
03-15-23:31:23,6
03-15-23:31:43,6
03-15-23:32:03,6
03-15-23:32:23,6
03-15-23:32:43,6
03-15-23:33:03,6
03-15-23:33:23,6
03-15-23:33:43,6
03-15-23:34:06,6
03-15-23:34:23,6
03-15-23:34:43,6
03-15-23:35:03,6
03-15-23:35:23,6
03-15-23:35:43,6
03-15-23:36:03,6
03-15-23:36:23,6
03-15-23:36:43,6
03-15-23:37:04,6
03-15-23:37:23,6
03-15-23:37:43,6
03-15-23:38:03,6
03-15-23:38:23,6
03-15-23:38:43,6
03-15-23:39:04,6
03-15-23:39:24,6
03-15-23:39:44,6
