Time,Power
03-15-22:16:59,96.5
03-15-22:17:19,96.75
03-15-22:17:39,95.5
03-15-22:17:59,95
03-15-22:18:19,95
03-15-22:18:39,94.75
03-15-22:18:59,94.25
03-15-22:19:19,94.25
03-15-22:19:39,94.5
03-15-22:19:59,94.5
03-15-22:20:19,94.25
03-15-22:20:39,94.75
03-15-22:20:59,94.5
03-15-22:21:19,94.25
03-15-22:21:39,94.5
03-15-22:21:59,95.25
03-15-22:22:19,95.75
03-15-22:22:39,95.5
03-15-22:22:59,95
03-15-22:23:19,95
03-15-22:23:40,94.75
03-15-22:23:59,94.5
03-15-22:24:19,94.75
03-15-22:24:39,95
03-15-22:24:59,95.5
03-15-22:25:19,95
03-15-22:25:39,94.75
03-15-22:26:00,94.25
03-15-22:26:20,94.5
03-15-22:26:40,94.5
03-15-22:27:00,94.75
03-15-22:27:20,94.5
03-15-22:27:39,94
03-15-22:28:00,94.5
03-15-22:28:20,94.5
03-15-22:28:40,94.25
03-15-22:29:00,94.5
03-15-22:29:20,94.5
03-15-22:29:40,94.25
03-15-22:30:00,94.75
03-15-22:30:20,94.5
03-15-22:30:40,94.25
03-15-22:31:00,94.5
03-15-22:31:20,94.25
03-15-22:31:40,94.25
03-15-22:32:00,94.75
03-15-22:32:20,94.5
03-15-22:32:40,94.25
03-15-22:33:00,94.5
03-15-22:33:20,94.25
03-15-22:33:40,94
03-15-22:34:00,94.5
03-15-22:34:20,94.25
03-15-22:34:40,94.5
03-15-22:35:00,94.25
03-15-22:35:20,94.5
03-15-22:35:40,94.5
03-15-22:36:01,94.5
03-15-22:36:20,94.25
03-15-22:36:40,94.25
03-15-22:37:00,94.75
03-15-22:37:20,94
03-15-22:37:40,94.5
03-15-22:38:00,94.5
03-15-22:38:20,94.25
03-15-22:38:41,94.25
03-15-22:39:00,94.5
03-15-22:39:20,94.25
03-15-22:39:40,94.25
03-15-22:40:00,94.25
03-15-22:40:20,94
03-15-22:40:40,94.25
03-15-22:41:00,94.25
03-15-22:41:20,94.25
03-15-22:41:40,94.5
03-15-22:42:00,94.5
03-15-22:42:20,94.25
03-15-22:42:40,94.25
03-15-22:43:00,94.75
03-15-22:43:20,94
03-15-22:43:41,94.25
03-15-22:44:01,94.5
03-15-22:44:21,94.25
03-15-22:44:41,94.5
03-15-22:45:01,94.25
03-15-22:45:21,94.5
03-15-22:45:41,94.25
03-15-22:46:01,94.25
03-15-22:46:21,94.5
03-15-22:46:41,94.5
03-15-22:47:01,95
03-15-22:47:21,95
03-15-22:47:41,95
03-15-22:48:01,95.25
03-15-22:48:21,95
03-15-22:48:41,95.25
03-15-22:49:01,95
03-15-22:49:21,95
03-15-22:49:41,95
03-15-22:50:01,95.5
03-15-22:50:21,95
03-15-22:50:41,95
03-15-22:51:01,95.5
03-15-22:51:21,95.25
03-15-22:51:41,95.25
03-15-22:52:01,95.5
03-15-22:52:21,95.25
03-15-22:52:41,95.25
03-15-22:53:01,95.25
03-15-22:53:21,95.25
03-15-22:53:41,95
03-15-22:54:01,95.5
03-15-22:54:21,95.25
03-15-22:54:41,95.25
03-15-22:55:01,95.5
03-15-22:55:21,95.25
03-15-22:55:41,95
03-15-22:56:01,95.5
03-15-22:56:21,95
03-15-22:56:41,95
03-15-22:57:01,96
03-15-22:57:21,96
03-15-22:57:41,95.75
03-15-22:58:01,95.25
03-15-22:58:21,95
03-15-22:58:41,95.25
03-15-22:59:01,95.5
03-15-22:59:22,95
03-15-22:59:41,95.25
